PERIODO,CENTRAL,AGENTE,AGENTE DESCRIPCION,REGION,CATEGORIA REGION,TIPO_MAQUINA,FUENTE GENERACION,TECNOLOGIA,POTENCIA INSTALADA [MW]
2016-05-01,LDLA,PAMPAENG,C.T. LOMA DE LA LATA S.A.,COMAHUE,Comahue,TV,Térmica,Ciclos Combinados,165.0
2016-05-01,LEVA,EPECORDG,EPEC GENERACION               ,CENTRO,Centro,DI,Térmica,Motor Diesel,10.78
2016-05-01,LEVA,EPECORDG,EPEC GENERACION               ,CENTRO,Centro,TG,Térmica,Turbina a gas,53.5
2016-05-01,LIBE,CTLIBESG,CT LIBERTADOR GSM - SULLAIR,NOROESTE,Noa,DI,Térmica,Motor Diesel,15.26
2016-05-01,LINC,CTLINCSG,CT LINCOLN - SOENERGY,BUENOS AIRES,Gba - Litoral - Buenos Aires,DI,Térmica,Motor Diesel,15.0
2016-05-01,LMADHI,HIDMADEG,HIDROELECTRICA LAS MADERAS,NOROESTE,Noa,HR,Renovable,Hidráulica Renovable,30.6
2016-05-01,LMO1HI,EPECORDG,EPEC GENERACION               ,CENTRO,Centro,HI,Hidráulica,Hidráulica,52.0
2016-05-01,LMO2HI,EPECORDG,EPEC GENERACION               ,CENTRO,Centro,HR,Renovable,Hidráulica Renovable,4.5
2016-05-01,LOBO,CTLOBOSG,CT LOBOS BS.AS - SULLAIR,BUENOS AIRES,Gba - Litoral - Buenos Aires,DI,Térmica,Motor Diesel,19.68
2016-05-01,LOM4EO,CELOMABG,C.EOLICA LOMA BLANCA IV-ENARSA,PATAGONICA,Patagonia,EO,Renovable,Eólica,50.0
2016-05-01,LPAL,CTLPALTG,CT LAS PALMAS -TURBODISEL,NORESTE,Nea,DI,Térmica,Motor Diesel,6.0
2016-05-01,LPAZ,CTLAPAZG,CT LA PAZ Entre Rios - ENARSA,LITORAL,Gba - Litoral - Buenos Aires,DI,Térmica,Motor Diesel,10.8
2016-05-01,LPLA,CTLAPLSG,CT LA PLATA - SULLAIR,GRAN BS.AS.,Gba - Litoral - Buenos Aires,DI,Térmica,Motor Diesel,40.4
2016-05-01,LQUIHI,HRHONDOG,HIDROELECTRICA RIO HONDO SA   ,NOROESTE,Noa,HR,Renovable,Hidráulica Renovable,2.0
2016-05-01,LREYHB,HIDIAMAG,H. DIAMANTE SA                ,CUYO,Cuyo,HB,Hidráulica,Hidráulica,224.0
2016-05-01,LRID,CTLARISG,CT LA RIOJA - SECCO,NOROESTE,Noa,DI,Térmica,Motor Diesel,19.2
2016-05-01,LRIO,GRIOJANG,GENERACION RIOJANA SA,NOROESTE,Noa,DI,Térmica,Motor Diesel,4.0
2016-05-01,LRIO,GRIOJANG,GENERACION RIOJANA SA,NOROESTE,Noa,TG,Térmica,Turbina a gas,38.0
2016-05-01,LRIP,EDELARFG,EDELAR GENERACION,NOROESTE,Noa,DI,Térmica,Motor Diesel,6.66
2016-05-01,LRIS,CTLARSSG,CT LA RIOJA SUR- SECCO,NOROESTE,Noa,DI,Térmica,Motor Diesel,10.0
2016-05-01,LUJAHI,PAHLUJAG,PAH LA LUJANITA - ENARSA,CUYO,Cuyo,HR,Renovable,Hidráulica Renovable,1.7
2016-05-01,LVAR,EPECORDG,EPEC GENERACION               ,CENTRO,Centro,DI,Térmica,Motor Diesel,5.6
2016-05-01,LVINHI,EPECORDG,EPEC GENERACION               ,CENTRO,Centro,HR,Renovable,Hidráulica Renovable,16.0
2016-05-01,MAGD,CTMAGAPG,CT MAGDALENA - APR ENERGY,GRAN BS.AS.,Gba - Litoral - Buenos Aires,DI,Térmica,Motor Diesel,25.0
2016-05-01,MATHEU,CTMATHEG,CT MATHEU - EMGASUD,GRAN BS.AS.,Gba - Litoral - Buenos Aires,TG,Térmica,Turbina a gas,40.0
2016-05-01,MDAJ,CATLANTG,C.COSTA ATLANTICA,BUENOS AIRES,Gba - Litoral - Buenos Aires,TG,Térmica,Turbina a gas,30.0
2016-05-01,MDPA,CATLANTG,C.COSTA ATLANTICA,BUENOS AIRES,Gba - Litoral - Buenos Aires,TG,Térmica,Turbina a gas,120.88
2016-05-01,MDPA,CATLANTG,C.COSTA ATLANTICA,BUENOS AIRES,Gba - Litoral - Buenos Aires,TV,Térmica,Turbovapor,56.0
2016-05-01,MIR1,CTMIRMEG,CT MIRAMAR I - ENERGYST,BUENOS AIRES,Gba - Litoral - Buenos Aires,DI,Térmica,Motor Diesel,20.0
2016-05-01,MJUA,EPECORDG,EPEC GENERACION               ,CENTRO,Centro,DI,Térmica,Motor Diesel,13.164
2016-05-01,MMAR,GMEDIPLG,GEN.MEDITERRANEA (CONT.PLUS),CENTRO,Centro,TG,Térmica,Turbina a gas,120.0
2016-05-01,MMAR,GMEDIT5G,GEN.MEDITERRANEA GRUPO 5,CENTRO,Centro,TG,Térmica,Turbina a gas,60.0
2016-05-01,MMAR,GMEDITEG,GEN.MEDITERRANEA (EX ENRON),CENTRO,Centro,TG,Térmica,Ciclos Combinados,68.0
2016-05-01,NECO,CATLANTG,C.COSTA ATLANTICA,BUENOS AIRES,Gba - Litoral - Buenos Aires,TV,Térmica,Turbovapor,204.0
2016-05-01,NECOEO,SEAENERG,SEA ENERGY PARQUE EOLICO,BUENOS AIRES,Gba - Litoral - Buenos Aires,EO,Renovable,Eólica,0.25
2016-05-01,NEMO,UGMNEA1G,UGEM 05 - NEA - ENARSA,GENERAC MOVIL,Unidades Móviles,GM,Térmica,Motor Diesel,19.6
2016-05-01,NEMO,UGMNEA2G,UGEM 06 - NEA - ENARSA,GENERAC MOVIL,Unidades Móviles,GM,Térmica,Motor Diesel,19.999
2016-05-01,NEMO,UGMNEA3G,UGEM 09 - NEA - ENARSA,GENERAC MOVIL,Unidades Móviles,GM,Térmica,Motor Diesel,19.992
2016-05-01,NIH1HI,HINIHUIG,HIDROELECTRICA LOS NIHUILES SA,CUYO,Cuyo,HI,Hidráulica,Hidráulica,72.0
2016-05-01,NIH2HI,HINIHUIG,HIDROELECTRICA LOS NIHUILES SA,CUYO,Cuyo,HI,Hidráulica,Hidráulica,110.0
2016-05-01,NIH3HI,HINIHUIG,HIDROELECTRICA LOS NIHUILES SA,CUYO,Cuyo,HR,Renovable,Hidráulica Renovable,42.0
2016-05-01,NIH4HI,HNIHUIVG,HIDR NIHUIL IV (EMSE SE)      ,CUYO,Cuyo,HR,Renovable,Hidráulica Renovable,18.0
2016-05-01,NOMO,UGMNOA1G,UGEM 10 - NOA - ENARSA,GENERAC MOVIL,Unidades Móviles,GM,Térmica,Motor Diesel,19.992
2016-05-01,NPUE,CPUERTOG,CENTRAL PUERTO SA             ,GRAN BS.AS.,Gba - Litoral - Buenos Aires,TG,Térmica,Ciclos Combinados,516.0
2016-05-01,NPUE,CPUERTOG,CENTRAL PUERTO SA             ,GRAN BS.AS.,Gba - Litoral - Buenos Aires,TV,Térmica,Ciclos Combinados,282.0
2016-05-01,NPUE,CPUERTOG,CENTRAL PUERTO SA             ,GRAN BS.AS.,Gba - Litoral - Buenos Aires,TV,Térmica,Turbovapor,390.0
2016-05-01,OBER,EMISSANG,EMSA GENERACION,NORESTE,Nea,TG,Térmica,Turbina a gas,12.0
2016-05-01,OLAD,CTOLAVAG,CT OLAVARRIA - EMGASUD,BUENOS AIRES,Gba - Litoral - Buenos Aires,TG,Térmica,Turbina a gas,38.8
2016-05-01,ORAD,CTORANSG,CT ORAN - SECCO,NOROESTE,Noa,DI,Térmica,Motor Diesel,15.0
2016-05-01,PAGUHI,HPAGUILG,HIDR. PIEDRA DEL AGUILA S.A.  ,COMAHUE,Comahue,HI,Hidráulica,Hidráulica,1400.0
2016-05-01,PAMO,UGMBAI1G,UGEM 11 - BA INT - ENARSA,GENERAC MOVIL,Unidades Móviles,GM,Térmica,Motor Diesel,20.0
2016-05-01,PARA,CTPARANG,CT PARANA - EMGASUD,LITORAL,Gba - Litoral - Buenos Aires,TG,Térmica,Turbina a gas,40.0
2016-05-01,PATA,ESURESUG,ENERGIA DEL SUR S.A.          ,PATAGONICA,Patagonia,TG,Térmica,Ciclos Combinados,76.4
2016-05-01,PATA,ESURESUG,ENERGIA DEL SUR S.A.          ,PATAGONICA,Patagonia,TV,Térmica,Ciclos Combinados,48.7
