AÑO,MES,BALANCE,TIPO,ENERGIA
2014,2014-08-01,DEMANDA,Perdidas,389185.317
2014,2014-09-01,DEMANDA,Gran Usuario,2123414.826
2014,2014-09-01,DEMANDA,Distribuidor,7684129.365
2014,2014-09-01,DEMANDA,Bombeo,18748.797
2014,2014-09-01,DEMANDA,Exportacion,196.47
2014,2014-09-01,DEMANDA,Perdidas,351281.724
2014,2014-10-01,DEMANDA,Gran Usuario,2285861.313
2014,2014-10-01,DEMANDA,Distribuidor,8420631.828
2014,2014-10-01,DEMANDA,Bombeo,46182.177
2014,2014-10-01,DEMANDA,Exportacion,37.044
2014,2014-10-01,DEMANDA,Perdidas,369935.112
2014,2014-11-01,DEMANDA,Gran Usuario,2234924.315
2014,2014-11-01,DEMANDA,Distribuidor,8109812.357
2014,2014-11-01,DEMANDA,Bombeo,57350.697
2014,2014-11-01,DEMANDA,Exportacion,535.14
2014,2014-11-01,DEMANDA,Perdidas,360937.126
2014,2014-12-01,DEMANDA,Gran Usuario,2212858.797
2014,2014-12-01,DEMANDA,Distribuidor,9016519.023
2014,2014-12-01,DEMANDA,Bombeo,47534.761
2014,2014-12-01,DEMANDA,Exportacion,0.0
2014,2014-12-01,DEMANDA,Perdidas,357173.211
2015,2015-01-01,DEMANDA,Gran Usuario,2123902.666
2015,2015-01-01,DEMANDA,Distribuidor,9582287.427
2015,2015-01-01,DEMANDA,Bombeo,39639.182
2015,2015-01-01,DEMANDA,Exportacion,6370.526
2015,2015-01-01,DEMANDA,Perdidas,357805.37
2015,2015-02-01,DEMANDA,Gran Usuario,2031816.72
2015,2015-02-01,DEMANDA,Distribuidor,8633269.901
2015,2015-02-01,DEMANDA,Bombeo,15477.765
2015,2015-02-01,DEMANDA,Exportacion,9.198
2015,2015-02-01,DEMANDA,Perdidas,289954.322
2015,2015-03-01,DEMANDA,Gran Usuario,2236608.054
2015,2015-03-01,DEMANDA,Distribuidor,9311919.018
2015,2015-03-01,DEMANDA,Bombeo,26232.242
2015,2015-03-01,DEMANDA,Exportacion,148.05
2015,2015-03-01,DEMANDA,Perdidas,307479.767
2015,2015-04-01,DEMANDA,Gran Usuario,2157494.851
2015,2015-04-01,DEMANDA,Distribuidor,7868939.909
2015,2015-04-01,DEMANDA,Bombeo,83169.481
